index,modelname,resolution,orig_graph_orig_img,orig_graph_adv_img,adv_graph_orig_img,adv_graph_adv_img
12,fa_maps-l,I,"[0.9110567569732666, 0.2085813581943512, 0.8466296195983887, 0.8414679765701294, 0.5950113534927368]","[0.41327694058418274, 0.3210293650627136, 0.05020108446478844, 0.14399361610412598, 0.1429770141839981]","[0.1517191380262375, 0.9044969081878662, 0.212260901927948, 0.15214422345161438, 0.35800471901893616]","[0.41431713104248047, 0.7648022174835205, 0.8764665126800537, 0.4965658485889435, 0.2819572687149048]"
35,fa_maps-l,I,"[0.6436792016029358, 0.3527820408344269, 0.31862562894821167, 0.34825554490089417, 0.3423619270324707]","[0.045505091547966, 0.00927270669490099, 0.008376717567443848, 0.009704411029815674, 0.027043888345360756]","[0.026472220197319984, 0.012272626161575317, 0.049392398446798325, 0.02306259050965309, 0.03433427959680557]","[0.5355663895606995, 0.4186086654663086, 0.3148236870765686, 0.40466636419296265, 0.40674206614494324]"
73,fa_maps-l,I,"[0.22231510281562805, 0.1891142725944519, 0.2451956421136856, 0.20004475116729736, 0.11527299880981445]","[0.02679286152124405, 0.06348323076963425, 0.041707150638103485, 0.03215818479657173, 0.06450364738702774]","[0.057981546968221664, 0.05751557648181915, 0.06802363693714142, 0.06130565330386162, 0.054467830806970596]","[0.20694607496261597, 0.31186601519584656, 0.37323009967803955, 0.10368259996175766, 0.3387061655521393]"
84,fa_maps-l,I,"[0.5530276298522949, 0.010326573625206947, 0.856367826461792, 0.4737340807914734, 0.0333700031042099]","[0.25072401762008667, 0.006587476469576359, 0.25859570503234863, 0.03629658371210098, 0.03249656409025192]","[0.3398905098438263, 0.4908527731895447, 0.04358835518360138, 0.18866893649101257, 0.46568727493286133]","[0.8446298837661743, 0.4017374813556671, 0.25387242436408997, 0.24655665457248688, 0.41710177063941956]"
38,fa_maps-l,I,"[0.03150453418493271, 0.03358066454529762, 0.017002901062369347, 0.07565600425004959, 0.14622120559215546]","[0.041861191391944885, 0.053201813250780106, 0.02594887651503086, 0.04611281305551529, 0.054254770278930664]","[0.054191794246435165, 0.040819115936756134, 0.04174337536096573, 0.016411656513810158, 0.10676104575395584]","[0.0922757238149643, 0.05250931158661842, 0.06427066773176193, 0.04185768961906433, 0.0648590624332428]"
49,fa_maps-l,I,"[0.5503039360046387, 0.4933592975139618, 0.3316514194011688, 0.45612633228302, 0.35688287019729614]","[0.42039254307746887, 0.14617818593978882, 0.2528541684150696, 0.3200719356536865, 0.4529297351837158]","[0.005345040000975132, 0.018127726390957832, 0.0015903309686109424, 0.0031980988569557667, 0.0009954056004062295]","[0.0023472383618354797, 0.003004426835104823, 0.0033428913448005915, 0.004142857156693935, 0.005686631426215172]"
13,fa_maps-l,I,"[0.6511938571929932, 0.5200307369232178, 0.5644707679748535, 0.55333411693573, 0.32824984192848206]","[0.025759214535355568, 0.03185730054974556, 0.07329592108726501, 0.06392289698123932, 0.1666809618473053]","[0.00900173932313919, 0.010269149206578732, 0.007899221032857895, 0.02914138324558735, 0.0028954502195119858]","[0.42911654710769653, 0.5333328247070312, 0.17638170719146729, 0.4589715898036957, 0.13392676413059235]"
25,fa_maps-l,I,"[0.5207198858261108, 0.45297884941101074, 0.8586761951446533, 0.4697091579437256, 0.5411768555641174]","[0.34767934679985046, 0.46619391441345215, 0.7111918330192566, 0.6001410484313965, 0.006132860668003559]","[0.009459957480430603, 0.004820223897695541, 0.027343953028321266, 0.01482112891972065, 0.026179246604442596]","[0.024613583460450172, 0.011044641956686974, 0.026984984055161476, 0.008975083939731121, 0.48871928453445435]"
52,fa_maps-l,I,"[0.5149990320205688, 0.33333566784858704, 0.30773457884788513, 0.36099496483802795, 0.019676532596349716]","[0.18644869327545166, 0.14023759961128235, 0.034434981644153595, 0.24806350469589233, 0.17571738362312317]","[0.13764891028404236, 0.07239101827144623, 0.028785817325115204, 0.13311612606048584, 0.011320006102323532]","[0.5538144111633301, 0.2186327576637268, 0.010762223973870277, 0.2633954584598541, 0.19605135917663574]"
42,fa_maps-l,I,"[0.27877047657966614, 0.3902284502983093, 0.4195674955844879, 0.34747418761253357, 0.2861897945404053]","[0.020477524027228355, 0.0036991224624216557, 0.014227875508368015, 0.003810085356235504, 0.04909471422433853]","[0.30354735255241394, 0.4024699330329895, 0.42252612113952637, 0.012265274301171303, 0.41555893421173096]","[0.4761810898780823, 0.458389014005661, 0.5442671775817871, 0.5071728825569153, 0.5267027616500854]"
8,fa_maps-l,I,"[0.6362690329551697, 0.4800185561180115, 0.5698524713516235, 0.511786937713623, 0.5871173739433289]","[0.5788661241531372, 0.5255143642425537, 0.6039725542068481, 0.46178653836250305, 0.499630868434906]","[0.010647173970937729, 0.4688834249973297, 0.008510629646480083, 0.007374227046966553, 0.47299885749816895]","[0.10308320075273514, 0.03030155599117279, 0.014388320967555046, 0.009892369620501995, 0.017402200028300285]"
92,fa_maps-l,I,"[0.4851306080818176, 0.5061342716217041, 0.5484187602996826, 0.49467864632606506, 0.25989997386932373]","[0.012998081743717194, 0.025358930230140686, 0.05357172712683678, 0.036935098469257355, 0.08525410294532776]","[0.460579514503479, 0.41138651967048645, 0.4761417508125305, 0.4824819564819336, 0.4787766635417938]","[0.4317053556442261, 0.48745599389076233, 0.4811454713344574, 0.4928494989871979, 0.4824950397014618]"
